NAME,Crop,Year,AW,Total_Land ,TW
Sacramento,Alfalfa,2001,6.06,7900,47882.35294
Shasta,Alfalfa,2012,2.65,7773,20598.45
Sutter,Alfalfa,2006,4.01,7527,30178.90368
Colusa,Alfalfa,1998,3.25,7500,24372.03219
Tehama,Alfalfa,2004,4.98,7378,36752.36558
Plumas,Alfalfa,2005,2.23,7287,16280.93382
Yolo,Alfalfa,2011,3.00286487236404,7208,21644.65
Yolo,Alfalfa,2012,3.27,7208,23570.16
Yolo,Alfalfa,2013,3.84,7208,27678.72
Yolo,Alfalfa,2014,3.89,7208,28039.12
Yolo,Alfalfa,2015,4.23,7208,30489.84
Sutter,Alfalfa,2008,5.31,7092,37642.33257
Tehama,Alfalfa,2005,3.85,7045,27131.23145
Plumas,Alfalfa,2012,2.58,6956,17946.48
Plumas,Alfalfa,2013,2.56,6956,17807.36
Sacramento,Alfalfa,2000,5.59,6900,38558.82353
Sonoma,Alfalfa,2010,0,6858,0
Colusa,Alfalfa,1999,5.37,6700,35965.88859
Plumas,Alfalfa,2004,2.68,6681,17909.57143
Plumas,Alfalfa,2006,2.8,6680,18684.8792
Colusa,Alfalfa,2002,4.73,6548,30987.62255
Sutter,Alfalfa,2007,4.86,6529,31733.43193
Colusa,Alfalfa,2001,4.53,6400,29013.00405
Sacramento,Alfalfa,1999,5.86,6300,36897.05882
Sutter,Alfalfa,2013,3.74,6190,23150.6
Los Angeles,Alfalfa,2012,5.19,6150,31918.5
Shasta,Alfalfa,2003,2.53,6097,15440.17553
Los Angeles,Alfalfa,2011,4.41,6090,26856.9
Plumas,Alfalfa,2003,2.55,6080,15509.03073
Los Angeles,Alfalfa,2010,7.26,6020,43717.59421
Shasta,Alfalfa,2002,2.9,6002,17429.57982
Shasta,Alfalfa,2001,3.2,6000,19184.00453
Sutter,Alfalfa,2011,3.14,5954,18695.56
Sutter,Alfalfa,2012,3.72,5954,22148.88
Plumas,Alfalfa,2015,2.27,5703,12945.81
Sutter,Alfalfa,2010,4.67,5702,26635.98849
Sutter,Alfalfa,2014,4.14,5667,23461.38
Los Angeles,Alfalfa,1998,4.8,5610,26904.7619
Los Angeles,Alfalfa,1999,5.54,5610,31056.38095
Los Angeles,Alfalfa,2000,6.36,5550,35299.14286
Los Angeles,Alfalfa,2002,7.58,5530,41934.78081
Los Angeles,Alfalfa,2003,6.85,5510,37755.81068
Tehama,Alfalfa,1998,2.61,5500,14381.05344
Sutter,Alfalfa,2015,4.1,5496,22533.6
Plumas,Alfalfa,2011,1.8799889298893,5420,10189.54
Plumas,Alfalfa,2014,2.57,5420,13929.4
Sutter,Alfalfa,2003,4.32,5403,23342.38828
Plumas,Alfalfa,2010,2.45,5340,13072.42574
Los Angeles,Alfalfa,2015,4.76,5320,25323.2
Shasta,Alfalfa,2005,2.31,5315,12294.49538
Plumas,Alfalfa,1998,1.95,5300,10324.67532
Plumas,Alfalfa,1999,2.38,5300,12619.04762
Plumas,Alfalfa,2000,2.67,5300,14133.33333
Plumas,Alfalfa,2001,2.93,5300,15546.66667
Los Angeles,Alfalfa,2013,7.26,5280,38332.8
Sutter,Alfalfa,2002,5.25,5272,27686.95734
Los Angeles,Alfalfa,2014,7.82,5220,40820.4
Sacramento,Alfalfa,1998,4.32,5200,22441.17647
Sutter,Alfalfa,2005,4.09,5163,21133.80985
Los Angeles,Alfalfa,2007,8.19,5160,42245.10462
Sutter,Alfalfa,2004,4.96,5116,25353.81093
Contra Costa,Alfalfa,1998,4.12,5100,21000
Sutter,Alfalfa,2001,5.14,5100,26205.88235
Los Angeles,Alfalfa,2006,7.36,5080,37392.08598
Colusa,Alfalfa,2000,4.45,5000,22263.73604
Santa Cruz,Alfalfa,2010,0,5000,0
Sutter,Alfalfa,2000,4.61,5000,23058.82353
Los Angeles,Alfalfa,2004,7.28,4980,36243.0314
Plumas,Alfalfa,2002,2.82,4940,13945.1881
San Bernardino,Alfalfa,2010,7.39,4930,36427.38492
Shasta,Alfalfa,2004,3.04,4929,14968.05918
Los Angeles,Alfalfa,2005,6,4920,29520.24489
Los Angeles,Alfalfa,2008,7.58,4920,37291.27113
Plumas,Alfalfa,2007,2.69,4895,13152.72958
Plumas,Alfalfa,2008,2.78,4895,13596.5846
Contra Costa,Alfalfa,2003,5.86,4889,28636.78862
Contra Costa,Alfalfa,2007,6.58,4753,31293.4875
Sutter,Alfalfa,1998,3.83,4700,18014.70588
Santa Barbara,Alfalfa,2010,5.66,4660,26356.06619
Shasta,Alfalfa,1998,1.94,4600,8932.447259
Tehama,Alfalfa,1999,4.5,4600,20719.79284
Sierra,Alfalfa,2008,3.74,4506,16842.81058
Contra Costa,Alfalfa,2001,6.03,4500,27132.35294
Shasta,Alfalfa,1999,3.05,4500,13709.79529
Butte,Alfalfa,2013,3.73,4486,16732.78
Contra Costa,Alfalfa,2002,5.89,4468,26314.20673
Alameda,Alfalfa,2005,5.35,4416.850463,23632.71032
Contra Costa,Alfalfa,1999,5.59,4400,24588.23529
Los Angeles,Alfalfa,2001,6.33,4400,27868.95238
Sutter,Alfalfa,1999,5.2,4400,22882.35294
Tehama,Alfalfa,2000,4.11,4400,18095.42762
Contra Costa,Alfalfa,2004,6.06,4320,26172.39059
Tehama,Alfalfa,2002,4.56,4315,19665.47576
Tehama,Alfalfa,2003,3.73,4315,16107.52921
Shasta,Alfalfa,2000,2.79,4200,11705.2757
Tehama,Alfalfa,2001,4.23,4200,17786.30137
Contra Costa,Alfalfa,2000,5.44,4100,22308.82353
Contra Costa,Alfalfa,2006,4.94,4097,20245.48794
Contra Costa,Alfalfa,2005,4.88,4060,19830.00646
Shasta,Alfalfa,2006,2.84,3954,11209.94602
Butte,Alfalfa,1998,2.92,3900,11402.76146
Shasta,Alfalfa,2007,3.02,3886,11724.4315
Butte,Alfalfa,2000,4.41,3800,16758.0437
Inyo,Alfalfa,1998,4.79,3800,18198.28571
Inyo,Alfalfa,1999,5.73,3800,21768.83365
San Benito,Alfalfa,2009,3.13,3800,11903.36986
San Luis Obispo,Alfalfa,1998,3.36,3660,12301.67136
San Luis Obispo,Alfalfa,2000,4.77,3660,17463.36419
San Luis Obispo,Alfalfa,1999,3.95,3640,14396.17706
Butte,Alfalfa,2012,3.49,3629,12665.21
Contra Costa,Alfalfa,2008,6.44,3590,23126.71309
Inyo,Alfalfa,2011,4.85,3540,17169
Inyo,Alfalfa,2012,5.32,3540,18832.8
San Luis Obispo,Alfalfa,2001,4.44,3530,15656.48485
Contra Costa,Alfalfa,2012,3.81,3510,13373.1
Inyo,Alfalfa,2001,6.02,3500,21064.88889
Inyo,Alfalfa,2004,6.77,3500,23692.00437
Inyo,Alfalfa,2005,5.66,3500,19803.03372
Inyo,Alfalfa,2009,7.24,3500,25339.70308
Inyo,Alfalfa,2000,6.03,3440,20759.61905
Inyo,Alfalfa,2002,7.15,3440,24597.69023
Inyo,Alfalfa,2003,6.58,3440,22621.81964
Inyo,Alfalfa,2013,5.55,3440,19092
Inyo,Alfalfa,2007,7.25,3420,24779.21362
Contra Costa,Alfalfa,2009,5.25,3400,17851.23412
Contra Costa,Alfalfa,2014,3.83,3387,12972.21
San Luis Obispo,Alfalfa,2002,5.65,3370,19037.87551
Contra Costa,Alfalfa,2013,3.75,3351,12566.25
Inyo,Alfalfa,2006,6.52,3340,21767.49341
Inyo,Alfalfa,2008,6.96,3320,23093.25717
Inyo,Alfalfa,2010,6.85,3320,22730.23751
Butte,Alfalfa,2011,3.31614712089237,3317,10999.66
Contra Costa,Alfalfa,2010,5.59,3249,18154.03296
Inyo,Alfalfa,2015,5.26,3240,17042.4
Contra Costa,Alfalfa,2011,3.26,3220,10497.2
Butte,Alfalfa,2001,4.52,3200,14460.17786
Inyo,Alfalfa,2014,7.72,3200,24704
Sacramento,Alfalfa,2009,5.61,3196,17924.8713
San Luis Obispo,Alfalfa,2003,4.86,3180,15462.60765
San Luis Obispo,Alfalfa,2006,4.72,3180,15006.65628
San Luis Obispo,Alfalfa,2004,5.58,3170,17673.97506
San Luis Obispo,Alfalfa,2005,4.5,3170,14276.21873
San Luis Obispo,Alfalfa,2007,6.03,3040,18326.52501
Butte,Alfalfa,1999,4.38,3000,13139.61174
Contra Costa,Alfalfa,2015,3.76,2947,11080.72
San Luis Obispo,Alfalfa,2013,8.66,2880,24940.8
Mono,Alfalfa,2011,2.5,2872,7180
San Luis Obispo,Alfalfa,2012,5.69,2750,15647.5
Mono,Alfalfa,2012,3.49,2747,9587.03
Sierra,Alfalfa,2003,3.18,2703,8601.328621
