Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value,,,,,
2022,486999,"Apiary Products, Pollination Fees",95,Solano,,,60000,155.67,Colonies,9340000,,,,,
2022,486999,"Apiary Products, Pollination Fees",99,Stanislaus,,,436000,202.57,Colonies,88321000,,,,,
2022,486999,"Apiary Products, Pollination Fees",101,Sutter,,,70400,108.07,Colonies,7608000,,,,,
2022,486999,"Apiary Products, Pollination Fees",103,Tehama,,,41000,200.85,Colonies,8235000,,,,,
2022,486999,"Apiary Products, Pollination Fees",107,Tulare,,,225000,183.00,Colonies,41175000,,,,,
2022,486999,"Apiary Products, Pollination Fees",111,Ventura,,,,,,3699000,,,,,
2022,486999,"Apiary Products, Pollination Fees",115,Yuba,,,13800,59.78,Colonies,825000,,,,,
2022,486999,"Apiary Products, Pollination Fees",998,Sum of Others,,,,,,2739000,,,,,
2022,486999,"Apiary Products, Pollination Fees",999,State Total,,,2432600,190.02,Colonies,636970000,,,,,
2022,211999,"Apples, All",17,El Dorado,831,,,,,5244000,,,,,
2022,211999,"Apples, All",23,Humboldt,35,,,,,153000,,,,,
2022,211999,"Apples, All",45,Mendocino,216,1.10,237,691.98,Tons,164000,,,,,
2022,211999,"Apples, All",61,Placer,48,0.48,23,3365.22,Tons,77400,,,,,
2022,211999,"Apples, All",65,Riverside,22,2.64,58,1982.76,Tons,115000,,,,,
2022,211999,"Apples, All",69,San Benito,366,20.00,7320,380.06,Tons,2782000,,,,,
2022,211999,"Apples, All",71,San Bernardino,207,1.39,287,5853.66,Tons,1680000,,,,,
2022,211999,"Apples, All",73,San Diego,115,0.76,88,2772.73,Tons,244000,,,,,
2022,211999,"Apples, All",77,San Joaquin,1430,16.78,24000,559.33,Tons,13424000,,,,,
2022,211999,"Apples, All",87,Santa Cruz,1940,17.32,33600,375.54,Tons,12618000,,,,,
2022,211999,"Apples, All",93,Siskiyou,26,,,,,38000,,,,,
2022,211999,"Apples, All",97,Sonoma,2070,2.83,5850,550.60,Tons,3221000,,,,,
2022,211999,"Apples, All",998,Sum of Others,891,,,,,3845000,,,,,
2022,211999,"Apples, All",999,State Total,8197,11.14,71463,480.32,,43605400,,,,,
2022,217999,"Apricots, All",13,Contra Costa,169,2.80,473,3369.98,Tons,1594000,,,,,
2022,217999,"Apricots, All",19,Fresno,1090,8.05,8780,2203.76,Tons,19349000,,,,,
2022,217999,"Apricots, All",31,Kings,468,11.45,5360,2181.16,Tons,11691000,,,,,
2022,217999,"Apricots, All",65,Riverside,12,2.42,29,1989.65,Tons,57700,,,,,
2022,217999,"Apricots, All",69,San Benito,500,3.00,1500,1255.33,Tons,1883000,,,,,
2022,217999,"Apricots, All",77,San Joaquin,592,2.70,1600,698.75,Tons,1118000,,,,,
2022,217999,"Apricots, All",85,Santa Clara,99,1.20,119,2243.70,Tons,267000,,,,,
2022,217999,"Apricots, All",99,Stanislaus,1920,,,,,8973000,,,,,
2022,217999,"Apricots, All",107,Tulare,539,7.24,3900,3430.00,Tons,13377000,,,,,
2022,217999,"Apricots, All",998,Sum of Others,331,,,,,1367000,,,,,
2022,217999,"Apricots, All",999,State Total,5720,6.27,21761,2267.21,Tons,59676700,,,,,
2022,,"Aquaculture, All",23,Humboldt,,,,,,11800000,,,,,
2022,,"Aquaculture, All",25,Imperial,,,,,,18462000,,,,,
2022,,"Aquaculture, All",41,Marin,,,,,,5975000,,,,,
2022,,"Aquaculture, All",65,Riverside,,,,,,5749000,,,,,
2022,,"Aquaculture, All",67,Sacramento,,,,,,32427000,,,,,
2022,,"Aquaculture, All",998,Sum of Others,,,,,,10213000,,,,,
2022,,"Aquaculture, All",999,State Total,,,,,,84626000,,,,,
2022,478894,Fish & Fishbait,65,Riverside,,,,,,459000,,,,,
2022,478894,Fish & Fishbait,999,State Total,,,,,,459000,,,,,
2022,478899,Fish & Fishbait,25,Imperial,,,,,,18462000,,,,,
2022,478899,Fish & Fishbait,41,Marin,,,,,,5975000,,,,,
2022,478899,Fish & Fishbait,65,Riverside,,,,,,5290000,,,,,
