County,Crop,Year,AW (acre-ft/acre),Total Land (Irrigated Crop Area in acres),AW,,,,,,,,,,,,,,,,,,
Mendocino,Onions & Garlic,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino,Potatoes,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino,Truck Crops,1998,2.02,600,1214.285714,,,,,,,,,,,,,,,,,,
Mendocino, Almonds & Pistachios,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino, Other Deciduous,1998,2.49,3500,8723.166023,,,,,,,,,,,,,,,,,,
Mendocino, Citrus & Subtropical,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino,Vineyard,1998,0.76,15100,11465.0437,,,,,,,,,,,,,,,,,,
Merced,Grain,1998,0.33,48600,16229.51066,,,,,,,,,,,,,,,,,,
Merced,Rice,1998,5.00,4500,22492.85714,,,,,,,,,,,,,,,,,,
Merced,Cotton,1998,2.30,66100,152295.2347,,,,,,,,,,,,,,,,,,
Merced,Sugar Beets,1998,0.67,12200,8115.220484,,,,,,,,,,,,,,,,,,
Merced,Corn,1998,2.15,71000,152773.5654,,,,,,,,,,,,,,,,,,
Merced,Dry Beans,1998,1.82,6300,11439.98926,,,,,,,,,,,,,,,,,,
Merced,Safflower,1998,0.85,200,170,,,,,,,,,,,,,,,,,,
Merced,Other Field,1998,2.06,12900,26590.75781,,,,,,,,,,,,,,,,,,
Merced,Alfalfa,1998,3.63,75900,275664.8417,,,,,,,,,,,,,,,,,,
Merced,Pasture,1998,3.94,55400,218212.7585,,,,,,,,,,,,,,,,,,
Merced,Tomato Processing,1998,2.84,11800,33504.90868,,,,,,,,,,,,,,,,,,
Merced,Tomato Fresh,1998,2.03,7900,16026.35135,,,,,,,,,,,,,,,,,,
Merced,Cucurbits,1998,2.11,10600,22396.83258,,,,,,,,,,,,,,,,,,
Merced,Onions & Garlic,1998,3.33,500,1666.666667,,,,,,,,,,,,,,,,,,
Merced,Potatoes,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Merced,Truck Crops,1998,1.24,14400,17911.59951,,,,,,,,,,,,,,,,,,
Merced, Almonds & Pistachios,1998,2.60,83300,216476.9362,,,,,,,,,,,,,,,,,,
Merced, Other Deciduous,1998,2.64,21900,57788.29741,,,,,,,,,,,,,,,,,,
Merced, Citrus & Subtropical,1998,2.24,200,447.5743349,,,,,,,,,,,,,,,,,,
Merced,Vineyard,1998,1.46,17000,24765.76808,,,,,,,,,,,,,,,,,,
Modoc,Grain,1998,1.26,25400,32124.06398,,,,,,,,,,,,,,,,,,
Modoc,Rice,1998,4.14,3400,14072.72727,,,,,,,,,,,,,,,,,,
Modoc,Cotton,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Modoc,Sugar Beets,1998,2.60,4200,10931.50685,,,,,,,,,,,,,,,,,,
Modoc,Corn,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Modoc,Dry Beans,1998,1.43,100,142.8571429,,,,,,,,,,,,,,,,,,
Modoc,Safflower,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Modoc,Other Field,1998,1.47,500,733.3333333,,,,,,,,,,,,,,,,,,
Modoc,Alfalfa,1998,2.00,35400,70720.90829,,,,,,,,,,,,,,,,,,
Modoc,Pasture,1998,2.33,81300,189109.4849,,,,,,,,,,,,,,,,,,
Modoc,Tomato Processing,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
